,Title,AVG sexism
0,2001: A Space Odyssey,"0"
1,All About Eve,"4"
2,Avatar,"0"
3,Avengers: Endgame,"0"
4,Back to the Future,"0"
5,Batman,"0"
6,Batman Forever,"0"
7,Batman Returns,"0"
8,Beverly Hills Cop II,"0"
9,Black Panther,"0"
10,Blazing Saddles,"0"
11,Butch Cassidy and the Sundance Kid,"0"
12,Casablanca,"0"
13,Cat on a Hot Tin Roof,"3"
14,Cleopatra,"1"
15,E.T. the Extra-Terrestrial,"0"
16,Fiddler on the Roof,"0"
17,Forever Amber,"4"
18,Forrest Gump,"0"
19,From Here To Eternity,"0"
20,Ghost,"0"
21,Ghostbusters,"1"
22,Going My Way,"0"
23,Gone with the Wind,"0"
24,Grease,"2"
25,Harry Potter and the Deathly Hallows: Part 2,"0"
26,Harry Potter and the Half Blood Prince ,"0"
27,Harry Potter and the Sorcerers Stone,"0"
28,Independence Day,"0"
29,JAWS,"0"
30,Jurassic Park,"0"
31,Lawrence of Arabia,"1"
32,Love Story,"0"
33,Man of Steel,"0"
34,Mary Poppins,"0"
35,Men in Black,"0"
36,Mission Impossible II,"2"
37,Pirates of the Caribbean: Dead Mans Chest,"0"
38,Pirates of the Caribbean: The Curse of the Black Pearl,"1"
39,Psycho,"0"
40,Quo Vadis?,"2"
41,Rocky,"0"
42,Rogue One: A Star Wars Story,"1"
43,Samson and Delilah,"0"
44,Sergeant York,"0"
45,Some like it hot,"1"
46,Song of the South,"0"
47,Spider-Man 2,"0"
48,Spiderman,"0"
49,Star Wars: Episode I - The Phantom Menace,"0"
50,Star Wars: Episode III - Revenge of the Sith,"0"
51,Star Wars: Episode IV - A New Hope,"1"
52,Star Wars: Episode V - The Empire Strikes Back,"0"
53,Star Wars: Episode VI - Return of the Jedi,"0"
54,Star Wars: Episode VIII - The Last Jedi,"0"
55,Star Wars: The Force Awakens,"0"
56,Superman,"0"
57,Superman II,"0"
58,Terminator 2: Judgment Day,"1"
59,The Avengers,"0"
60,The Bells of St. Mary,"2"
61,The Bible,"0"
62,The Bridge on the River Kwai,"0"
63,The Dark Knight,"0"
64,The Exorcist,"0"
65,The Godfather,"0"
66,The Graduate,"2"
67,The Greatest Show on Earth,"0"
68,The Sea Chase,"0"
69,The Snake Pit,"0"
70,The Sound of Music,"0"
71,The Ten Commandments,"0"
72,Titanic,"0"
73,Top Gun,"0"
74,Transformers,"2"
75,West Side Story,"0"
76,White Christmas,"0"
77,Who Framed Roger Rabbit,"0"
78,X-Men: Days of Future Past,"0"
79,Yankee Doodle Dandy,"0"
