,imdb,Movie,ProductionCosts,BoxOffice,gaze_score
0,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,305413918.0,30.25825323861262
1,tt0119654,Men in Black,90000000.0,250690539.0,51.66
2,tt0121766,Star Wars: Episode III – Revenge of the Sith,113000000.0,380270577.0,54.86821300824607
3,tt0081573,Superman II,54000000.0,108185706.0,32.12917523351561
4,tt0120338,Titanic,200000000.0,659363944.0,51.6625
5,tt0076759,Star Wars: Episode IV – A New Hope,11000000.0,460998507.0,51.66
6,tt0120755,Mission: Impossible 2,125000000.0,215409889.0,71.29340423476927
7,tt0770828,Man of Steel,225000000.0,291045518.0,35.138008244351376
8,tt0083866,E.T. the Extra-Terrestrial,10500000.0,435110554.0,0.0
9,tt1201607,Harry Potter and the Deathly Hallows – Part 2,250000000.0,381447587.0,33.96787143075757
10,tt0056172,Lawrence of Arabia,15000000.0,45306425.0,65.0
11,tt0145487,Spider-Man,139000000.0,407022860.0,60.79502563050683
12,tt0078346,Superman,55000000.0,134478449.0,55.84907385237478
13,tt0112462,Batman Forever,100000000.0,184069126.0,51.66
14,tt0103776,Batman Returns,80000000.0,162924631.0,61.16061584986747
15,tt0042192,All About Eve,1400000.0,8400000.0,21.07642443217599
16,tt0316654,Spider-Man 2,200000000.0,373585825.0,55.07955704137066
17,tt0073195,Jaws,9000000.0,260758300.0,25.0
18,tt0848228,The Avengers,220000000.0,623357910.0,54.86821300824607
19,tt0418279,Transformers,,319246193.0,0.0
20,tt0086190,Star Wars: Episode VI – Return of the Jedi,32500000.0,309306177.0,51.66
21,tt0080684,Star Wars: Episode V – The Empire Strikes Back,18000000.0,292753960.0,65.0
22,tt0103064,Terminator 2: Judgment Day,102000000.0,205881154.0,42.29335562055997
23,tt0107290,Jurassic Park,63000000.0,404214720.0,27.41663184287505
24,tt0120915,Star Wars: Episode I – The Phantom Menace,115000000.0,474544677.0,25.0
25,tt0468569,The Dark Knight,185000000.0,534987076.0,25.0
26,tt0054215,Psycho,800000.0,32000000.0,35.96352744095159
27,tt0054215,Psycho,800000.0,50000000.0,35.96352744095159
28,tt0109830,Forrest Gump,55000000.0,330455270.0,60.179528019683104
29,tt0417741,Harry Potter and the Half-Blood Prince,250000000.0,302334374.0,35.305162444100645
30,tt0383574,Pirates of the Caribbean: Dead Man's Chest,225000000.0,423315812.0,41.53821300824607
31,tt0096895,Batman,35000000.0,251409241.0,56.91825323861261
32,tt0087332,Ghostbusters,30000000.0,243578797.0,38.33
33,tt0092099,Top Gun,15000000.0,180258178.0,41.53821300824607
34,tt0062622,2001: A Space Odyssey,10500000.0,60481243.0,65.0
35,tt0241527,Harry Potter and the Philosopher's Stone,125000000.0,317557891.0,25.0
36,tt0088763,Back to the Future,19000000.0,212836762.0,38.33
37,tt0499549,Avatar,237000000.0,760507625.0,33.01503343083995
38,tt2488496,Star Wars Episode VII: The Force Awakens,245000000.0,936662225.0,30.926870037609696
39,tt1825683,Black Panther,200000000.0,700426566.0,31.96207844911527
40,tt3748528,Rogue One,200000000.0,532177324.0,25.0
41,tt2527336,Star Wars: Episode VIII – The Last Jedi,200000000.0,620181382.0,16.05
